NAME_3,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
DenpasarBarat,716,10,0.088,1.238,1.15,91.3769999999993,0.127621508379887,0.088,0.104649137309508,0.796,0.088,0.088,0.088,0
DenpasarUtara,906,10,0.088,1.149,1.061,110.864999999999,0.122367549668873,0.088,0.0853028535734336,0.707,0.088,0.088,0.088,0
DenpasarSelatan,1357,19,0.088,3.005,2.917,193.065999999996,0.142274134119378,0.088,0.167285841319725,0.884,0.088,0.088,0.177,0.089
DenpasarTimur,1045,15,0.088,1.768,1.68,142.131999999998,0.136011483253587,0.088,0.132056490240149,1.149,0.088,0.088,0.177,0.089
